pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_dens,st_vsin,rastr,ra,decstr,dec,sy_dist,rowupdate
Kepler-362 c,Kepler-362,1,2,Transit,2014,Kepler,0,37.86628100,0.207000,1.450,0.129,,,,,,,,,,1,,5788.00,0.72,,,,,,19h27m05.18s,291.7716030,+47d31m47.71s,47.5299192,1090.5100000,2014-05-14
Kepler-363 b,Kepler-363,1,3,Transit,2014,Kepler,0,3.61456800,0.048000,1.160,0.103,,,,,,,,,,0,,5593.00,1.49,,,,,,18h52m46.10s,283.1920779,+41d18m19.50s,41.3054172,762.5960000,2014-05-14
Kepler-363 c,Kepler-363,1,3,Transit,2014,Kepler,0,7.54242700,0.079000,1.690,0.151,,,,,,,,,,0,,5593.00,1.49,,,,,,18h52m46.10s,283.1920779,+41d18m19.50s,41.3054172,762.5960000,2014-05-14
Kepler-363 d,Kepler-363,1,3,Transit,2014,Kepler,0,11.93212500,0.107000,2.050,0.183,,,,,,,,,,0,,5593.00,1.49,,,,,,18h52m46.10s,283.1920779,+41d18m19.50s,41.3054172,762.5960000,2014-05-14
Kepler-364 b,Kepler-364,1,2,Transit,2014,Kepler,0,25.74571800,0.178000,1.550,0.138,,,,,,,,,,0,,6108.00,1.28,,,,,,18h46m16.80s,281.5699998,+47d23m55.04s,47.3986233,891.4620000,2014-05-14
Kepler-364 c,Kepler-364,1,2,Transit,2014,Kepler,0,59.98062700,0.312000,2.150,0.192,,,,,,,,,,1,,6108.00,1.28,,,,,,18h46m16.80s,281.5699998,+47d23m55.04s,47.3986233,891.4620000,2014-05-14
Kepler-365 b,Kepler-365,1,2,Transit,2014,Kepler,0,10.66490300,0.098000,2.040,0.182,,,,,,,,,,0,,6012.00,1.05,,,,,,19h42m30.38s,295.6265640,+49d07m49.48s,49.1304110,1038.9900000,2014-05-14
Kepler-365 c,Kepler-365,1,2,Transit,2014,Kepler,0,17.78412900,0.137000,1.640,0.146,,,,,,,,,,0,,6012.00,1.05,,,,,,19h42m30.38s,295.6265640,+49d07m49.48s,49.1304110,1038.9900000,2014-05-14
Kepler-366 b,Kepler-366,1,2,Transit,2014,Kepler,0,3.28195900,0.045000,1.460,0.130,,,,,,,,,,0,,6209.00,1.05,,,,,,19h47m24.49s,296.8520316,+49d05m03.97s,49.0844359,1856.2800000,2014-05-14
Kepler-366 c,Kepler-366,1,2,Transit,2014,Kepler,0,12.51616000,0.110000,1.790,0.160,,,,,,,,,,0,,6209.00,1.05,,,,,,19h47m24.49s,296.8520316,+49d05m03.97s,49.0844359,1856.2800000,2014-05-14
