pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,sy_dist,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,ra,dec
TOI-1075 b,TOI-1075,1,1,Transit,2022,61.4592000,0.60473280,0.011590,1.791,9.95000,0.000000,509.20,1323,K9 V/M0 V,3875.00,0.58,0.60,309.9712091,-65.4496994
TOI-1107 b,TOI-1107,1,1,Transit,2022,281.3140000,4.07823870,0.056100,14.572,1064.72516,0.025000,532.00,1728,F6 V,6311.00,1.81,1.35,155.6078632,-82.2188693
TOI-1130 b,TOI-1130,1,2,Transit,2020,58.2609000,4.06649900,0.043940,3.650,,0.220000,,810,K7,4250.00,0.69,0.68,286.3760037,-41.4376399
TOI-1130 c,TOI-1130,1,2,Transit,2020,58.2609000,8.35038100,0.070980,16.814,309.56642,0.047000,,637,K7,4250.00,0.69,0.68,286.3760037,-41.4376399
TOI-1136 b,TOI-1136,1,6,Transit,2022,84.5362000,4.17278000,,1.900,,0.031000,,,,5770.00,0.97,1.02,192.1848981,64.8552755
TOI-1136 c,TOI-1136,1,6,Transit,2022,84.5362000,6.25725000,,2.879,,0.117000,,,,5770.00,0.97,1.02,192.1848981,64.8552755
TOI-1136 d,TOI-1136,1,6,Transit,2022,84.5362000,12.51937000,,4.627,,0.016000,,,,5770.00,0.97,1.02,192.1848981,64.8552755
TOI-1136 e,TOI-1136,1,6,Transit,2022,84.5362000,18.79920000,,2.639,,0.057000,,,,5770.00,0.97,1.02,192.1848981,64.8552755
TOI-1136 f,TOI-1136,1,6,Transit,2022,84.5362000,26.31620000,,3.880,,0.012000,,,,5770.00,0.97,1.02,192.1848981,64.8552755
TOI-1136 g,TOI-1136,1,6,Transit,2022,84.5362000,39.53870000,,2.530,,0.036000,,,,5770.00,0.97,1.02,192.1848981,64.8552755
TOI-1181 b,TOI-1181,1,1,Transit,2022,302.8190000,2.10319500,,14.572,375.03752,,,,F9 IV,5990.00,1.75,1.19,297.2158166,64.3543506
TOI-1201 b,TOI-1201,2,1,Transit,2021,37.8871000,2.49198630,0.028700,2.415,6.28000,0.000000,40.60,703,M2.0 V,3476.00,0.51,0.51,42.2476999,-14.5372835
TOI-122 b,TOI-122,1,1,Transit,2020,62.1180000,5.07803000,0.039200,2.720,,0.000000,8.80,471,M3 V,3403.00,0.33,0.31,332.9482355,-58.9460850
TOI-1227 b,TOI-1227,1,1,Transit,2022,100.6410000,27.36397000,0.088600,9.572,,,3.21,,M4.5V-M5V,3072.00,0.56,0.17,186.7673635,-72.4518501
TOI-1231 b,TOI-1231,1,1,Transit,2021,27.6227000,24.24558600,0.128800,3.650,15.40000,0.087000,1.93,330,M3 V,3553.00,0.48,0.48,156.7472600,-52.4678724
TOI-1235 b,TOI-1235,1,1,Transit,2020,39.6345000,3.44471700,0.038260,1.694,5.90000,,60.30,775,M0.5 V,3997.00,0.62,0.63,152.2182549,69.2766204
TOI-1246 b,TOI-1246,1,4,Transit,2022,169.4220000,4.30744000,0.049000,3.010,8.10000,,196.00,955,K V,5151.00,0.86,0.87,251.1158702,70.4299917
TOI-1246 c,TOI-1246,1,4,Transit,2022,169.4220000,5.90414400,0.061000,2.510,8.80000,,129.00,860,K V,5151.00,0.86,0.87,251.1158702,70.4299917
TOI-1246 d,TOI-1246,1,4,Transit,2022,169.4220000,18.65590000,0.131000,3.510,5.30000,,28.00,586,K V,5151.00,0.86,0.87,251.1158702,70.4299917
TOI-1246 e,TOI-1246,1,4,Transit,2022,169.4220000,37.92160000,0.211000,3.780,14.80000,,11.00,462,K V,5151.00,0.86,0.87,251.1158702,70.4299917
TOI-125 b,TOI-125,1,3,Transit,2019,111.0590000,4.65382000,0.051860,2.726,9.50000,0.194000,185.00,1037,K0 V,5320.00,0.85,0.86,23.5934253,-66.6763495
TOI-125 c,TOI-125,1,3,Transit,2019,111.0590000,9.15059000,0.081400,2.759,6.63000,0.066000,77.59,828,K0 V,5320.00,0.85,0.86,23.5934253,-66.6763495
